Date,Open,High,Low,Close,Adj Close,Volume
2002-06-24,5.994982,5.994982,5.289690,5.994982,5.830874,58521853
2002-07-01,5.642336,5.642336,5.289690,5.289690,5.144890,35708609
2002-07-08,5.289690,5.289690,4.584398,5.289690,5.144890,44875023
2002-07-15,4.937044,4.937044,4.584398,4.937044,4.801897,12760669
2002-07-22,4.584398,4.584398,4.231752,4.231752,4.115911,45307469
2002-07-29,3.879106,4.231752,3.879106,4.231752,4.115911,7798186
2002-08-05,3.879106,4.231752,3.173814,3.879106,3.772919,20537589
2002-08-12,3.526460,4.231752,3.173814,3.526460,3.429926,3268147
2002-08-19,3.526460,3.879106,3.173814,3.879106,3.772919,3764397
2002-08-26,3.526460,3.879106,3.173814,3.879106,3.772919,8181006
2002-09-02,3.879106,3.879106,3.173814,3.526460,3.429926,12647241
2002-09-09,3.526460,3.526460,2.821168,3.526460,3.429926,949959
2002-09-16,3.173814,3.526460,3.173814,3.526460,3.429926,6160566
2002-09-23,3.526460,3.879106,3.173814,3.173814,3.086934,16369103
2002-09-30,3.173814,3.526460,3.173814,3.526460,3.429926,2240205
2002-10-07,3.526460,3.526460,2.821168,3.173814,3.086934,1843207
2002-10-14,2.821168,3.173814,2.115876,3.173814,3.086934,39721130
2002-10-21,2.821168,3.173814,2.821168,3.173814,3.086934,9981679
2002-10-28,2.821168,3.173814,2.821168,3.173814,3.086934,9223127
2002-11-04,3.173814,3.173814,3.173814,3.173814,3.086934,0
2002-11-11,3.173814,3.526460,2.821168,3.526460,3.429926,2757721
2002-11-18,3.526460,3.879106,3.173814,3.526460,3.429926,1602172
2002-11-25,3.173814,3.526460,3.173814,3.526460,3.429926,4416609
2002-12-02,3.526460,3.526460,2.821168,3.173814,3.086934,1297334
2002-12-09,3.173814,3.879106,3.173814,3.879106,3.772919,10350321
2002-12-16,3.526460,6.347628,3.526460,6.347628,6.173867,143210172
2002-12-23,5.994982,6.347628,5.994982,6.347628,6.173867,62116109
2002-12-30,6.347628,6.347628,5.642336,5.994982,5.830874,34680667
2003-01-06,5.994982,6.700274,5.994982,6.347628,6.173867,189276194
2003-01-13,6.347628,7.052920,6.347628,6.347628,6.173867,8202275
2003-01-20,6.700274,7.052920,5.994982,6.347628,6.173867,65242471
2003-01-27,5.994982,6.347628,5.642336,6.347628,6.173867,79591136
2003-02-03,6.347628,7.052920,6.347628,7.052920,6.859852,31993835
2003-02-10,6.700274,7.052920,6.700274,7.052920,6.859852,35453396
2003-02-17,6.700274,7.052920,6.347628,7.052920,6.859852,9939143
2003-02-24,7.052920,7.052920,6.347628,6.700274,6.516860,5132623
2003-03-03,6.700274,7.758212,6.700274,7.052920,6.859852,89487747
2003-03-10,6.700274,7.052920,6.347628,7.052920,6.859852,31852050
2003-03-17,7.052920,7.052920,6.700274,7.052920,6.859852,15837408
2003-03-24,6.700274,7.405566,6.347628,7.052920,6.859852,120283499
2003-03-31,6.700274,7.052920,6.700274,6.700274,6.516860,15887034
2003-04-07,6.700274,7.405566,6.700274,7.405566,7.202846,53701154
2003-04-14,7.052920,7.758212,6.700274,7.758212,7.545838,69496029
2003-04-21,7.758212,8.110858,7.052920,7.052920,6.859852,165661862
2003-04-28,7.405566,8.816150,7.052920,8.816150,8.574815,126635477
2003-05-05,8.463504,10.579381,8.463504,9.168796,8.917808,143748953
2003-05-12,9.168796,9.521442,8.816150,9.168796,8.917808,30505091
2003-05-19,8.816150,11.284673,8.816150,11.284673,10.975765,224644518
2003-05-26,11.284673,14.458487,10.579381,13.400549,13.033721,889390399
2003-06-02,13.047903,22.216700,12.695257,21.511408,20.922554,2077181998
2003-06-09,21.864054,25.037868,19.748178,21.864054,21.265543,2033377450
2003-06-16,21.864054,22.569345,19.042885,20.100824,19.550581,476901714
2003-06-23,19.748178,19.748178,16.574364,17.632301,17.149632,411070830
2003-06-30,17.632301,17.984947,14.811133,16.927010,16.463648,469174418
2003-07-07,16.927010,20.806116,16.927010,19.748178,19.207590,832371469
2003-07-14,19.748178,20.100824,17.984947,19.395533,18.864597,576427856
2003-07-21,19.042885,19.395533,15.516425,17.279655,16.806641,498396355
2003-07-28,17.279655,20.100824,16.221718,19.748178,19.207590,1018088854
2003-08-04,20.100824,22.216700,18.337593,20.453470,19.893576,3172331128
2003-08-11,20.806116,21.864054,20.453470,20.806116,20.236567,1337764926
2003-08-18,20.806116,20.806116,19.395533,20.806116,20.236567,344360879
2003-08-25,20.806116,21.158762,19.748178,20.100824,19.550581,332876275
2003-09-01,19.748178,21.511408,19.748178,20.100824,19.550581,1282879863
2003-09-08,20.100824,21.158762,20.100824,20.453470,19.893576,534579946
2003-09-15,20.453470,20.806116,20.100824,20.453470,19.893576,119234289
2003-09-22,20.453470,20.453470,19.395533,19.748178,19.207590,120148804
2003-09-29,20.100824,21.511408,19.395533,20.453470,19.893576,687077052
2003-10-06,20.453470,20.453470,19.395533,20.100824,19.550581,247181280
2003-10-13,20.100824,20.806116,19.395533,20.453470,19.893576,286682646
2003-10-20,20.453470,21.864054,20.100824,20.100824,19.550581,637601095
2003-10-27,20.100824,20.806116,17.632301,18.337593,17.835617,275077525
2003-11-03,17.632301,18.337593,16.927010,17.279655,16.806641,40940484
2003-11-10,17.279655,17.279655,15.869071,16.574364,16.120653,41089358
2003-11-17,15.516425,16.574364,15.516425,16.574364,16.120653,22579295
2003-11-24,16.574364,16.574364,16.574364,16.574364,16.120653,0
2003-12-01,15.869071,20.453470,15.869071,20.100824,19.550581,561434069
2003-12-08,18.690239,20.100824,17.984947,19.042885,18.521603,323915449
2003-12-15,18.690239,20.100824,17.984947,19.748178,19.207590,213982269
2003-12-22,19.395533,19.748178,19.395533,19.395533,18.864597,39919631
2003-12-29,19.395533,19.395533,18.690239,19.042885,18.521603,22536761
2004-01-05,19.042885,20.806116,19.042885,20.100824,19.550581,511468954
2004-01-12,19.748178,20.100824,19.042885,19.395533,18.864597,47469693
2004-01-19,19.395533,20.100824,18.690239,19.748178,19.207590,112846864
2004-01-26,19.395533,19.748178,17.984947,18.337593,17.835617,52566872
2004-02-02,18.337593,19.395533,17.632301,19.042885,18.521603,46377947
2004-02-09,19.042885,19.042885,18.337593,18.337593,17.835617,31887497
2004-02-16,18.690239,20.453470,17.984947,18.690239,18.178610,430693907
2004-02-23,18.690239,18.690239,17.984947,17.984947,17.492626,37133550
2004-03-01,17.632301,26.095806,17.632301,26.095806,25.381456,3350264505
2004-03-08,26.801098,28.564327,22.216700,23.274637,22.637516,1812220847
2004-03-15,23.627283,26.095806,22.569345,23.979931,23.323502,1580444528
2004-03-22,23.979931,23.979931,21.158762,21.158762,20.579561,111088727
2004-03-29,21.158762,22.216700,20.453470,22.216700,21.608541,99866426
2004-04-05,22.216700,22.569345,21.511408,21.864054,21.265543,51609823
2004-04-12,21.864054,21.864054,20.453470,21.158762,20.579561,120070820
2004-04-19,21.158762,23.979931,20.806116,22.216700,21.608541,851186368
2004-04-26,21.511408,22.569345,20.100824,20.806116,20.236567,218363434
2004-05-03,20.806116,20.806116,19.042885,19.395533,18.864597,182186931
2004-05-10,19.042885,19.042885,14.811133,15.163779,14.748684,1018471673
2004-05-17,14.458487,15.163779,12.695257,14.811133,14.405692,377786748
2004-05-24,14.811133,14.811133,13.047903,13.753195,13.376714,245940660
2004-05-31,13.753195,13.753195,12.695257,12.695257,12.347735,54757455
2004-06-07,12.695257,13.047903,12.695257,12.695257,12.347735,36233212
2004-06-14,13.047903,13.400549,11.989965,11.989965,11.661751,125671338
2004-06-21,11.989965,12.342611,11.284673,11.637319,11.318758,93479002
2004-06-28,11.637319,14.458487,11.284673,13.753195,13.376714,392291376
2004-07-05,13.753195,15.869071,13.753195,15.163779,14.748684,783958901
2004-07-12,15.163779,15.163779,13.753195,14.458487,14.062698,90572403
2004-07-19,14.458487,15.163779,14.105841,14.458487,14.062698,83057786
2004-07-26,14.458487,14.811133,13.753195,14.105841,13.719706,57373392
2004-08-02,14.105841,14.458487,13.753195,14.105841,13.719706,30668143
2004-08-09,13.753195,16.574364,13.753195,14.811133,14.405692,776827102
2004-08-16,14.811133,15.516425,14.458487,14.811133,14.405692,115313927
2004-08-23,15.163779,15.163779,14.458487,14.458487,14.062698,115583318
2004-08-30,14.458487,15.163779,14.458487,15.163779,14.748684,150065488
2004-09-06,15.163779,17.279655,14.811133,16.221718,15.777663,939908476
2004-09-13,16.221718,16.927010,15.516425,15.869071,15.434669,187837073
2004-09-20,15.869071,27.153744,15.163779,25.743160,25.038464,5045143896
2004-09-27,25.743160,26.801098,22.216700,22.921991,22.294523,1813362219
2004-10-04,22.921991,28.916975,21.158762,26.801098,26.067442,4172987489
2004-10-11,27.506390,40.201649,27.506390,32.443436,31.555326,2610563861
2004-10-18,29.974913,34.559311,29.974913,32.796082,31.898315,321079745
2004-10-25,32.090790,34.559311,31.385496,33.854019,32.927296,300400368
2004-11-01,33.501373,34.911957,33.148727,33.148727,32.241306,124125879
