Type,ACES,ASII,ICBP,MDKA,SMGR,ADRO,BBCA,INCO,MEDC,TLKM,AKRA,BBNI,INDF,PGAS,UNTR,AMRT,BBRI,INKP,PGEO,UNVR,ANTM,BMRI,ITMG,ARTO,BRPT,KLBF,PTBA
2024-08-04,800,4630,10925.0,2450.0,3910,3230,10325,3700,1310,2890,1515,4970,6075,1610,25275,2850,4670,8200,1300.0,2430,1305,6425,26100,2790.0,1095,1565,2660
2024-07-28,820,4610,10850.0,2390.0,4010,3180,10325,3740,1325,3100,1555,5000,6125,1580,24975,2850,4760,8075,1265.0,2490,1295,6550,26400,2570.0,1065,1575,2660
2024-07-21,800,4530,10800.0,2340.0,4060,3100,10125,3840,1285,3140,1515,5100,6075,1595,24650,2880,4900,8500,1290.0,2800,1350,6525,26525,2310.0,1055,1575,2630
2024-07-14,800,4540,10375.0,2400.0,4090,2830,10075,3750,1315,3220,1500,5025,5950,1580,23500,2930,4900,8450,1285.0,2920,1360,6425,25550,2320.0,1130,1560,2530
2024-07-07,835,4580,10275.0,2440.0,3950,2910,9950,4040,1390,3020,1565,4700,6125,1610,23800,2780,4800,8850,1230.0,2910,1310,6425,26150,2230.0,1220,1490,2540
2024-06-30,855,4460,10300.0,2380.0,3730,2790,9925,4220,1335,3130,1620,4660,6075,1540,21975,2750,4600,8900,1190.0,3020,1250,6150,23900,2410.0,990,1525,2450
2024-06-23,845,4490,10300.0,2310.0,3700,2730,9600,4220,1280,2950,1580,4540,5975,1505,21625,2700,4440,8800,1155.0,2990,1230,6125,24250,2100.0,948,1570,2420
2024-06-16,840,4420,10500.0,2270.0,3440,2780,9200,3993,1260,2720,1570,4310,6075,1420,21225,2720,4180,8675,1060.0,3200,1210,5750,24050,2030.0,948,1565,2460
2024-06-09,835,4560,10575.0,2500.0,4010,2840,9325,4387,1330,3050,1600,4700,6200,1590,22800,2760,4350,9300,1180.0,3010,1300,6275,24750,2330.0,963,1600,2530
2024-06-02,820,4290,9750.0,2700.0,3490,2770,9250,4900,1395,2900,1600,4400,5875,1580,22075,2650,4340,9100,1185.0,3120,1465,5900,24975,2410.0,1063,1490,2490
2024-05-26,800,4710,10475.0,2820.0,3950,2920,9425,4831,1355,2940,1595,4760,6150,1590,22600,2830,4720,9625,1260.0,3060,1525,6050,24325,2390.0,1183,1560,2590
2024-05-19,845,4800,10550.0,2740.0,4060,2880,9750,4722,1370,2990,1580,5175,6150,1515,22300,2800,4920,9800,1290.0,2710,1620,6575,24075,2290.0,1338,1500,2920
2024-05-12,875,5125,10775.0,2710.0,4480,2870,9375,4515,1315,3080,1660,4670,6200,1520,22100,2880,4680,9525,1315.0,2560,1535,6275,25350,2240.0,978,1420,2930
2024-05-05,880,5225,10850.0,2560.0,4630,2730,9850,4012,1310,3160,1650,4830,6225,1515,23950,2900,4750,9325,1215.0,2600,1490,6150,24825,2110.0,978,1490,2930
2024-04-28,910,4880,10600.0,2510.0,4580,2600,9625,4032,1410,3030,1600,5150,6050,1280,24150,2840,4830,8975,1200.0,2590,1595,6750,24500,2040.0,874,1405,2880
2024-04-21,920,4900,9725.0,2800.0,5075,2760,9475,4338,1555,3150,1845,5225,6100,1350,25350,2800,5275,9650,1220.0,2380,1760,6725,25700,2130.0,948,1400,3140
2024-04-14,950,5275,10850.0,2620.0,5650,2700,9825,4042,1560,3430,1735,5300,6500,1375,25250,2880,5650,9575,1190.0,2680,1670,6825,26850,2530.0,1003,1480,2930
2024-04-07,950,5275,10850.0,2620.0,5650,2700,9825,4042,1560,3430,1735,5300,6500,1375,25250,2880,5650,9575,1190.0,2680,1670,6825,26850,2530.0,1003,1480,2930
2024-03-31,880,5150,11600.0,2280.0,5900,2700,10075,4012,1430,3470,1720,5900,6375,1360,24175,2910,6050,9575,1175.0,2700,1600,7250,26700,2670.0,943,1475,2970
2024-03-24,915,5375,11125.0,2320.0,5800,2650,10100,4091,1415,3900,1700,5850,6425,1320,24600,2900,6125,9350,1195.0,2720,1670,7050,27800,2700.0,943,1485,2940
2024-03-17,835,5175,10725.0,2290.0,5850,2660,10150,4150,1425,3970,1750,5800,6425,1235,24175,2880,5975,8550,1180.0,2640,1615,7400,27100,2700.0,983,1430,2840
2024-03-10,825,5150,10775.0,2370.0,5900,2670,10150,3934,1340,3860,1750,6100,6350,1135,24175,2790,6350,8325,1185.0,2660,1565,7125,27650,2780.0,1008,1440,2900
2024-03-03,825,5225,11625.0,2240.0,6125,2490,9825,4042,1365,3920,1750,5900,6675,1105,23725,2720,6125,8975,1220.0,2730,1480,7025,26250,2690.0,1003,1490,2580
