Start Date,6/29/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDX30 Index,,,,,LQ45 Index,,,,,KOA Comdty,,,,,XWA Comdty,,,,,LMNIDY Comdty,,,,,COA Comdty,,,,,LOSNDY Comdty,,,,,HGA Comdty,,,,,USDIDR Curncy,,,,,XAUIDR Curncy,,,,,RR1 Comdty,,,,
,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW,PX_OPEN,PX_LAST,PX_VOLUME,PX_HIGH,PX_LOW
7/4/2014,418.089,424.62,3127585700,426.218,417.811,816.817,829.282,6025963100,832.325,816.114,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,70.05,222,#N/A N/A,#N/A N/A,18714,19323.5,38686,19800,18709,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,21855,22780,#N/A N/A,22850,21855,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,12015,11880,#N/A N/A,12016,11764,15774751.88,15677501.87,#N/A N/A,15865161.89,155930.9248,14.6,14.55,223,15.05,14.11
7/11/2014,426.874,441.695,6208540300,458.356,426.296,833.447,861.215,10157564000,893.171,832.639,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.15,515,#N/A N/A,#N/A N/A,19180,19308,45793,19545,18950,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22710,22010,#N/A N/A,22710,22010,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11829,11590,#N/A N/A,11870,11513,15675241.87,15535851.85,#N/A N/A,15683431.87,153251.2214,14.61,14.5,106,14.95,14.61
7/18/2014,442.813,448.725,4722500100,453.208,438.014,863.507,874.116,7551626000,883.259,854.142,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,67.4,460,#N/A N/A,#N/A N/A,19225,18587.5,66500,19260,18500,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22170,22080,#N/A N/A,22170,22075,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11610,11615,#N/A N/A,11833,11605,15532951.85,15231711.82,#N/A N/A,15554991.85,151772.4243,14.9,13.125,1160,14.9,12.785
7/25/2014,451.437,445.065,5038633700,455.912,440.717,879.468,868.297,7977015000,887.906,859.038,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.05,180,#N/A N/A,#N/A N/A,18730,19143,60306,19160,18721.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22155,22405,#N/A N/A,22405,22105,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11580,11578,#N/A N/A,11638,11483,15228101.82,15137001.8,#N/A N/A,15264231.82,149708.721,13.13,12.94,931,13.255,12.935
8/1/2014,451.437,445.065,5038633700,455.912,440.717,879.468,868.297,7977015000,887.906,859.038,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,68.95,362,#N/A N/A,#N/A N/A,18800,18334,51663,18801,18276.5,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22550,22480,#N/A N/A,22950,22480,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11575,11803,#N/A N/A,11850,11575,15165371.81,15293691.82,#N/A N/A,15320711.83,14824991.77,12.945,12.79,2313,13.2,12.785
8/8/2014,442.736,440.242,4389465300,449.719,439.376,865.145,861.905,5899266200,879.467,860.107,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,70.55,65,#N/A N/A,#N/A N/A,18410,18482,44920,18861,18270,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22375,22300,#N/A N/A,22380,22300,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11760,11775,#N/A N/A,11841,11684,15298131.82,15439771.84,#N/A N/A,15614411.86,151117.018,12.795,12.66,2880,12.87,12.61
8/15/2014,445.25,448.944,3460339600,453.145,444.037,871.181,879.898,4688254800,887.498,869.27,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,70.25,25,#N/A N/A,#N/A N/A,18573,18584,56988,19000,18490,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22320,22400,#N/A N/A,22480,22320,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11740,11675,#N/A N/A,11746,11661,15418641.84,15231061.82,#N/A N/A,15448941.84,152751.612,12.645,12.905,2802,12.925,12.575
8/22/2014,449.733,453.287,3226645300,456.593,448.42,881.26,886.828,4755704600,893.37,879.44,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,69.25,25,#N/A N/A,#N/A N/A,18372,18668,67736,18780,18372,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,22425,22425,#N/A N/A,22425,22275,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,11678,11679,#N/A N/A,11743,11643,15229781.82,14953901.78,#N/A N/A,15231451.82,149630.8147,12.9,12.825,3417,13.2,12.73
